timestamp,cpu_usage,ram_usage,temp_celsius,network_latency,failure
2026-01-01 00:00:00,68.09,63.36,64.82,171.07,0
2026-01-01 00:05:00,41.2,62.61,76.39,172.87,0
2026-01-01 00:10:00,77.01,55.46,38.44,161.25,0
2026-01-01 00:15:00,80.81,75.71,57.44,144.21,0
2026-01-01 00:20:00,22.98,72.22,75.27,142.71,0
2026-01-01 00:25:00,35.96,39.37,63.05,135.27,0
2026-01-01 00:30:00,64.56,38.27,85.48,142.42,0
2026-01-01 00:35:00,55.68,75.64,36.79,146.14,0
2026-01-01 00:40:00,61.66,53.32,34.96,42.76,0
2026-01-01 00:45:00,44.94,73.44,74.31,76.54,0
2026-01-01 00:50:00,79.59,82.06,75.85,63.41,0
2026-01-01 00:55:00,77.56,45.12,58.91,180.89,0
2026-01-01 01:00:00,63.32,42.59,68.41,210.98,0
2026-01-01 01:05:00,84.54,98.14,73.92,5.0,0
2026-01-01 01:10:00,71.35,74.33,48.98,206.06,0
2026-01-01 01:15:00,44.81,60.45,50.69,124.77,0
2026-01-01 01:20:00,69.38,51.19,65.04,175.7,0
2026-01-01 01:25:00,42.82,58.81,76.47,147.86,0
2026-01-01 01:30:00,79.57,46.57,43.34,199.22,0
2026-01-01 01:35:00,61.0,83.9,58.83,131.54,0
2026-01-01 01:40:00,58.3,54.02,58.09,45.01,0
2026-01-01 01:45:00,48.38,87.68,68.69,114.19,0
2026-01-01 01:50:00,86.45,60.79,61.86,148.36,0
2026-01-01 01:55:00,58.91,49.22,53.27,108.12,0
2026-01-01 02:00:00,53.43,60.33,81.98,156.18,0
2026-01-01 02:05:00,54.96,20.76,53.37,116.39,0
2026-01-01 02:10:00,72.65,65.83,57.33,87.25,0
2026-01-01 02:15:00,69.31,64.94,36.54,60.27,0
2026-01-01 02:20:00,70.25,82.85,50.58,98.45,0
2026-01-01 02:25:00,70.62,34.05,70.26,131.25,0
2026-01-01 02:30:00,100.0,88.91,67.13,12.23,0
2026-01-01 02:35:00,53.87,82.77,71.59,77.1,0
2026-01-01 02:40:00,51.76,90.54,70.82,10.18,0
2026-01-01 02:45:00,45.72,67.05,95.4,86.06,0
2026-01-01 02:50:00,74.32,86.25,50.03,185.85,0
2026-01-01 02:55:00,84.58,41.52,36.09,54.76,0
2026-01-01 03:00:00,59.72,80.83,45.19,158.67,0
2026-01-01 03:05:00,45.2,54.12,50.74,276.69,0
2026-01-01 03:10:00,45.51,38.27,46.41,199.94,0
2026-01-01 03:15:00,75.01,47.77,63.5,127.34,0
2026-01-01 03:20:00,76.87,68.1,82.04,167.21,0
2026-01-01 03:25:00,72.86,53.16,86.63,44.67,0
2026-01-01 03:30:00,48.69,74.77,70.07,33.46,0
2026-01-01 03:35:00,66.64,35.45,96.26,121.58,0
2026-01-01 03:40:00,64.33,29.71,56.3,141.92,0
2026-01-01 03:45:00,66.37,92.7,35.88,180.19,0
2026-01-01 03:50:00,79.43,84.27,78.85,88.72,0
2026-01-01 03:55:00,66.47,49.11,32.58,130.64,0
2026-01-01 04:00:00,75.58,67.95,49.92,128.75,0
2026-01-01 04:05:00,63.35,86.35,70.32,112.77,0
2026-01-01 04:10:00,67.78,75.55,60.36,116.01,0
2026-01-01 04:15:00,74.63,70.67,58.94,72.99,0
2026-01-01 04:20:00,32.86,87.71,43.11,135.38,0
2026-01-01 04:25:00,55.61,54.85,61.83,130.73,0
2026-01-01 04:30:00,52.59,68.56,78.06,95.8,0
2026-01-01 04:35:00,49.22,67.68,62.32,156.62,0
2026-01-01 04:40:00,56.5,63.09,48.72,176.53,0
2026-01-01 04:45:00,91.9,60.98,42.04,157.26,0
2026-01-01 04:50:00,44.68,69.31,49.05,62.67,0
2026-01-01 04:55:00,81.37,68.62,68.28,125.48,0
2026-01-01 05:00:00,28.34,49.13,67.5,69.87,0
2026-01-01 05:05:00,55.3,82.43,49.19,125.31,0
2026-01-01 05:10:00,65.26,50.43,26.63,70.09,0
2026-01-01 05:15:00,73.72,64.07,68.72,190.24,0
2026-01-01 05:20:00,76.22,62.68,47.64,163.08,0
2026-01-01 05:25:00,77.87,74.45,73.02,183.41,0
2026-01-01 05:30:00,55.03,29.86,49.9,177.84,0
2026-01-01 05:35:00,52.75,84.04,46.19,105.12,0
2026-01-01 05:40:00,79.16,55.81,64.45,96.59,0
2026-01-01 05:45:00,58.17,89.96,99.72,215.79,0
2026-01-01 05:50:00,36.49,59.39,73.98,110.92,0
2026-01-01 05:55:00,39.33,67.12,64.18,45.5,0
2026-01-01 06:00:00,43.61,100.0,67.74,175.41,0
2026-01-01 06:05:00,71.94,63.01,33.98,127.91,0
2026-01-01 06:10:00,64.85,90.3,44.04,202.83,1
2026-01-01 06:15:00,75.81,68.7,21.83,133.36,0
2026-01-01 06:20:00,53.45,75.48,89.68,118.9,0
2026-01-01 06:25:00,65.17,69.26,86.44,203.94,0
2026-01-01 06:30:00,74.51,83.26,68.29,35.38,0
2026-01-01 06:35:00,55.81,55.66,64.16,87.81,0
2026-01-01 06:40:00,71.14,50.29,37.17,71.2,0
2026-01-01 06:45:00,48.76,56.51,58.49,5.0,0
2026-01-01 06:50:00,54.74,69.79,90.68,168.02,0
2026-01-01 06:55:00,54.37,64.03,64.1,89.34,0
2026-01-01 07:00:00,38.08,80.78,52.97,169.8,0
2026-01-01 07:05:00,71.74,91.49,33.87,141.4,0
2026-01-01 07:10:00,52.61,50.43,84.08,153.39,0
2026-01-01 07:15:00,62.25,54.79,60.88,94.95,0
2026-01-01 07:20:00,71.61,42.15,33.89,77.97,0
2026-01-01 07:25:00,70.93,100.0,47.21,124.94,0
2026-01-01 07:30:00,75.31,73.48,41.56,170.55,0
2026-01-01 07:35:00,60.03,76.64,59.89,117.23,0
2026-01-01 07:40:00,53.53,43.88,65.32,81.39,0
2026-01-01 07:45:00,60.41,67.98,53.95,54.05,0
2026-01-01 07:50:00,28.25,77.17,74.43,131.23,0
2026-01-01 07:55:00,33.06,63.45,63.26,89.53,0
2026-01-01 08:00:00,35.55,87.36,79.0,116.05,0
2026-01-01 08:05:00,42.06,100.0,56.28,106.87,0
2026-01-01 08:10:00,70.0,50.95,105.0,95.56,0
2026-01-01 08:15:00,43.89,49.6,52.97,136.16,0
2026-01-01 08:20:00,54.44,52.2,47.55,150.5,0
2026-01-01 08:25:00,87.98,96.91,45.58,228.09,1
2026-01-01 08:30:00,54.87,86.76,58.62,161.69,0
2026-01-01 08:35:00,76.75,65.56,34.49,207.65,0
2026-01-01 08:40:00,43.33,68.66,66.71,74.98,0
2026-01-01 08:45:00,57.89,53.3,31.52,31.95,0
2026-01-01 08:50:00,43.0,84.02,64.59,119.21,0
2026-01-01 08:55:00,55.22,61.16,40.38,167.19,0
2026-01-01 09:00:00,78.81,63.32,55.9,158.56,0
2026-01-01 09:05:00,27.45,78.96,71.67,186.63,0
2026-01-01 09:10:00,70.69,64.62,98.86,5.0,0
2026-01-01 09:15:00,66.75,63.77,44.75,188.91,0
2026-01-01 09:20:00,50.12,68.19,59.59,138.45,0
2026-01-01 09:25:00,33.08,82.32,50.42,35.08,0
2026-01-01 09:30:00,63.44,97.64,48.08,159.79,0
2026-01-01 09:35:00,51.41,78.54,50.56,129.32,0
2026-01-01 09:40:00,66.65,82.46,75.19,140.97,0
2026-01-01 09:45:00,62.44,64.4,54.19,174.95,0
2026-01-01 09:50:00,94.04,55.26,97.99,143.67,1
2026-01-01 09:55:00,57.21,79.77,68.66,38.99,0
2026-01-01 10:00:00,41.53,71.08,45.84,112.13,0
2026-01-01 10:05:00,65.59,42.39,56.13,31.03,0
2026-01-01 10:10:00,66.4,62.09,49.17,155.7,0
2026-01-01 10:15:00,89.18,66.51,74.8,196.89,0
2026-01-01 10:20:00,78.7,58.81,35.78,51.72,0
2026-01-01 10:25:00,69.14,94.67,40.54,83.07,0
2026-01-01 10:30:00,91.27,76.64,52.54,71.47,0
2026-01-01 10:35:00,38.22,92.72,72.93,95.04,0
2026-01-01 10:40:00,49.2,72.74,81.73,142.68,0
2026-01-01 10:45:00,43.47,69.46,84.09,95.63,0
2026-01-01 10:50:00,54.2,51.14,70.48,155.89,0
2026-01-01 10:55:00,34.47,68.21,60.67,178.6,0
2026-01-01 11:00:00,74.7,68.23,74.71,180.6,0
2026-01-01 11:05:00,57.56,43.39,43.69,58.5,0
2026-01-01 11:10:00,32.58,58.29,32.49,196.23,0
2026-01-01 11:15:00,41.69,62.18,68.99,200.63,0
2026-01-01 11:20:00,68.27,75.44,45.91,205.4,0
2026-01-01 11:25:00,78.76,76.3,60.96,111.32,0
2026-01-01 11:30:00,100.0,57.54,63.91,78.65,0
2026-01-01 11:35:00,100.0,76.44,65.97,65.87,0
2026-01-01 11:40:00,70.29,64.72,77.0,59.4,0
2026-01-01 11:45:00,42.21,16.35,75.31,120.64,0
2026-01-01 11:50:00,19.36,59.28,65.12,166.63,0
2026-01-01 11:55:00,67.35,87.42,54.93,191.86,0
2026-01-01 12:00:00,45.74,37.73,63.72,93.29,0
2026-01-01 12:05:00,53.69,70.03,52.46,117.87,0
2026-01-01 12:10:00,49.76,96.53,58.86,114.27,0
2026-01-01 12:15:00,59.18,54.31,103.89,85.06,0
2026-01-01 12:20:00,83.32,68.04,64.92,160.47,0
2026-01-01 12:25:00,65.14,44.53,69.2,139.96,0
2026-01-01 12:30:00,58.83,97.29,50.71,127.8,0
2026-01-01 12:35:00,41.29,66.5,78.32,139.71,0
2026-01-01 12:40:00,28.51,68.84,74.16,153.85,0
2026-01-01 12:45:00,52.27,92.38,74.28,153.3,0
2026-01-01 12:50:00,60.92,79.91,65.44,73.88,0
2026-01-01 12:55:00,97.36,52.24,78.55,169.3,0
2026-01-01 13:00:00,64.61,56.35,82.35,134.05,0
2026-01-01 13:05:00,81.65,76.91,66.53,96.1,0
2026-01-01 13:10:00,52.01,56.77,60.17,132.88,0
2026-01-01 13:15:00,38.3,29.89,76.31,138.95,0
2026-01-01 13:20:00,42.7,67.04,47.53,179.5,0
2026-01-01 13:25:00,47.5,41.36,50.51,62.46,0
2026-01-01 13:30:00,100.0,97.09,61.15,192.87,0
2026-01-01 13:35:00,45.57,71.18,34.14,121.27,0
2026-01-01 13:40:00,78.77,51.71,75.24,92.16,0
2026-01-01 13:45:00,43.94,55.42,46.59,90.48,0
2026-01-01 13:50:00,80.63,33.99,54.46,64.92,0
2026-01-01 13:55:00,69.7,48.21,58.59,24.25,0
2026-01-01 14:00:00,58.87,86.29,62.63,157.26,0
2026-01-01 14:05:00,61.18,100.0,56.5,228.95,1
2026-01-01 14:10:00,48.9,81.08,60.92,31.03,0
2026-01-01 14:15:00,70.92,66.34,61.05,67.73,0
2026-01-01 14:20:00,52.9,60.22,54.85,161.34,0
2026-01-01 14:25:00,37.49,50.78,49.63,117.49,0
2026-01-01 14:30:00,36.44,100.0,79.3,165.89,0
2026-01-01 14:35:00,65.45,64.6,28.33,114.41,0
2026-01-01 14:40:00,93.58,100.0,58.71,88.07,0
2026-01-01 14:45:00,65.2,93.08,54.5,107.58,0
2026-01-01 14:50:00,59.63,36.67,68.7,5.0,0
2026-01-01 14:55:00,67.72,56.01,38.73,57.11,0
2026-01-01 15:00:00,88.12,55.96,54.0,172.16,0
2026-01-01 15:05:00,66.39,66.56,60.36,185.55,0
2026-01-01 15:10:00,53.78,66.91,79.12,197.34,0
2026-01-01 15:15:00,84.13,100.0,67.31,144.25,0
2026-01-01 15:20:00,70.58,48.61,43.06,5.0,0
2026-01-01 15:25:00,92.72,72.12,54.2,85.07,0
2026-01-01 15:30:00,65.66,79.1,76.18,192.86,0
2026-01-01 15:35:00,37.51,67.97,42.79,209.27,0
2026-01-01 15:40:00,34.64,69.98,60.74,194.95,0
2026-01-01 15:45:00,95.02,49.19,61.85,107.01,0
2026-01-01 15:50:00,96.47,69.92,55.83,48.14,0
2026-01-01 15:55:00,58.41,77.21,105.0,117.77,0
2026-01-01 16:00:00,54.34,73.9,55.4,120.81,0
2026-01-01 16:05:00,91.23,78.26,69.2,206.11,0
2026-01-01 16:10:00,39.86,93.43,49.74,132.53,0
2026-01-01 16:15:00,44.11,84.87,70.44,120.92,0
2026-01-01 16:20:00,74.87,69.28,75.93,124.04,0
2026-01-01 16:25:00,54.11,46.91,52.59,141.99,0
2026-01-01 16:30:00,61.9,57.2,61.12,154.45,0
2026-01-01 16:35:00,58.73,64.05,47.68,80.15,0
2026-01-01 16:40:00,68.75,72.54,43.69,61.83,0
2026-01-01 16:45:00,90.15,59.39,78.59,195.38,0
2026-01-01 16:50:00,63.81,51.16,53.14,29.74,0
2026-01-01 16:55:00,74.88,46.61,23.38,210.08,0
2026-01-01 17:00:00,21.0,38.28,90.25,14.91,0
2026-01-01 17:05:00,61.03,63.77,49.17,87.85,0
2026-01-01 17:10:00,45.14,41.55,58.06,173.45,0
2026-01-01 17:15:00,37.62,49.99,88.25,120.02,0
2026-01-01 17:20:00,44.44,60.91,59.73,47.59,0
2026-01-01 17:25:00,55.32,43.95,59.39,143.45,0
2026-01-01 17:30:00,80.32,74.84,42.35,123.69,0
2026-01-01 17:35:00,35.47,81.32,35.84,108.12,0
2026-01-01 17:40:00,62.61,58.11,59.34,85.68,0
2026-01-01 17:45:00,52.32,60.13,67.8,118.1,0
2026-01-01 17:50:00,55.45,77.67,66.89,87.99,0
2026-01-01 17:55:00,82.06,55.15,54.3,253.9,0
2026-01-01 18:00:00,72.76,53.91,62.32,106.8,0
2026-01-01 18:05:00,88.75,89.54,32.6,99.44,0
2026-01-01 18:10:00,58.91,83.92,69.36,90.21,0
2026-01-01 18:15:00,48.08,78.83,64.58,217.73,0
2026-01-01 18:20:00,57.52,84.66,93.58,29.85,0
2026-01-01 18:25:00,66.85,32.41,62.12,139.77,0
2026-01-01 18:30:00,65.53,92.37,46.92,106.84,0
2026-01-01 18:35:00,40.31,75.06,61.19,41.71,0
2026-01-01 18:40:00,63.81,86.19,56.76,74.95,0
2026-01-01 18:45:00,66.56,74.97,68.96,137.43,0
2026-01-01 18:50:00,100.0,68.88,62.43,72.46,0
2026-01-01 18:55:00,99.54,63.04,41.84,134.28,0
2026-01-01 19:00:00,44.94,74.61,35.83,215.1,0
2026-01-01 19:05:00,56.25,62.39,66.21,129.38,0
2026-01-01 19:10:00,32.73,83.62,84.13,40.06,0
2026-01-01 19:15:00,50.19,39.44,63.27,73.43,0
2026-01-01 19:20:00,68.31,58.25,75.01,104.3,0
2026-01-01 19:25:00,86.12,100.0,78.2,100.63,0
2026-01-01 19:30:00,47.42,56.73,66.27,128.36,0
2026-01-01 19:35:00,48.92,63.7,48.97,137.18,0
2026-01-01 19:40:00,19.05,52.11,65.12,215.18,0
2026-01-01 19:45:00,58.75,74.05,81.31,119.8,0
2026-01-01 19:50:00,40.75,54.75,70.48,56.63,0
2026-01-01 19:55:00,51.41,64.66,73.97,183.46,0
2026-01-01 20:00:00,44.46,83.28,54.6,189.47,0
2026-01-01 20:05:00,60.11,55.42,58.76,132.78,0
2026-01-01 20:10:00,26.85,82.2,60.1,106.45,0
2026-01-01 20:15:00,32.66,82.8,61.18,154.24,0
2026-01-01 20:20:00,100.0,86.99,80.69,108.39,1
2026-01-01 20:25:00,36.25,70.53,24.45,6.94,0
2026-01-01 20:30:00,40.06,100.0,62.49,150.99,0
2026-01-01 20:35:00,98.74,86.98,60.73,169.07,0
2026-01-01 20:40:00,100.0,73.85,40.06,199.26,0
2026-01-01 20:45:00,38.57,52.23,72.75,79.81,0
2026-01-01 20:50:00,54.64,66.25,50.41,132.44,0
2026-01-01 20:55:00,68.83,93.67,56.29,133.63,0
2026-01-01 21:00:00,96.57,98.77,91.58,124.7,1
2026-01-01 21:05:00,42.26,94.61,78.16,126.32,0
2026-01-01 21:10:00,57.09,82.13,71.19,122.04,0
2026-01-01 21:15:00,77.55,45.4,68.09,131.65,0
2026-01-01 21:20:00,70.7,76.77,59.37,160.74,0
2026-01-01 21:25:00,54.48,45.65,93.99,187.12,0
2026-01-01 21:30:00,59.32,41.23,74.83,78.4,0
2026-01-01 21:35:00,34.5,72.3,50.01,110.52,0
2026-01-01 21:40:00,57.24,77.42,39.6,96.76,0
2026-01-01 21:45:00,56.67,84.26,71.07,88.89,0
2026-01-01 21:50:00,66.64,76.95,61.11,31.12,0
2026-01-01 21:55:00,50.89,77.57,39.14,121.33,0
2026-01-01 22:00:00,71.43,50.28,68.86,146.36,0
2026-01-01 22:05:00,82.25,66.11,57.7,111.47,0
2026-01-01 22:10:00,65.11,40.87,70.49,119.51,0
2026-01-01 22:15:00,69.04,31.94,69.07,143.01,0
2026-01-01 22:20:00,63.06,81.33,52.27,197.61,0
2026-01-01 22:25:00,62.0,54.44,72.13,96.91,0
2026-01-01 22:30:00,47.57,83.7,54.03,55.56,0
2026-01-01 22:35:00,68.33,87.95,55.07,115.03,0
2026-01-01 22:40:00,60.05,56.85,53.48,223.6,0
2026-01-01 22:45:00,100.0,78.63,80.1,56.15,1
